"","GEOID","NAME","variable","estimate","moe","concept","label"
"133","23005","Cumberland County, Maine","B08602_014",10605,611,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!12 00 p.m. to 3 59 p.m."
"134","23005","Cumberland County, Maine","B08602_015",9684,585,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!4 00 p.m. to 11 59 p.m."
"135","23005","Cumberland County, Maine","B08603_001",175810,2162,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"136","23005","Cumberland County, Maine","B08603_002",4088,382,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Less than 5 minutes"
"137","23005","Cumberland County, Maine","B08603_003",16471,862,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 to 9 minutes"
"138","23005","Cumberland County, Maine","B08603_004",24997,1096,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!10 to 14 minutes"
"139","23005","Cumberland County, Maine","B08603_005",27815,1241,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!15 to 19 minutes"
"140","23005","Cumberland County, Maine","B08603_006",27339,1031,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!20 to 24 minutes"
"141","23005","Cumberland County, Maine","B08603_007",12958,837,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!25 to 29 minutes"
"142","23005","Cumberland County, Maine","B08603_008",22114,1061,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!30 to 34 minutes"
"143","23005","Cumberland County, Maine","B08603_009",7036,559,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!35 to 39 minutes"
"144","23005","Cumberland County, Maine","B08603_010",7877,654,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!40 to 44 minutes"
"145","23005","Cumberland County, Maine","B08603_011",15609,876,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!45 to 59 minutes"
